table_name,column_name,data_type
order_payments_silver_tratada,order_id,text
order_payments_silver_tratada,payment_sequential,bigint
order_payments_silver_tratada,payment_type,text
order_payments_silver_tratada,payment_installments,bigint
order_payments_silver_tratada,payment_value,double precision
products_silver_tratada,product_id,text
products_silver_tratada,product_category_name,text
products_silver_tratada,product_name_length,bigint
products_silver_tratada,product_description_length,bigint
products_silver_tratada,product_weight_g,bigint
products_silver_tratada,product_length_cm,bigint
products_silver_tratada,product_height_cm,bigint
products_silver_tratada,product_width_cm,bigint
tabela_analitica_vendas,id_pedido,text
tabela_analitica_vendas,id_cliente_pedido,text
tabela_analitica_vendas,id_unico_cliente,character varying
tabela_analitica_vendas,uf_cliente,character varying
tabela_analitica_vendas,cidade_cliente,text
tabela_analitica_vendas,status_pedido,text
tabela_analitica_vendas,data_compra,timestamp without time zone
tabela_analitica_vendas,data_aprovacao_pagamento,timestamp without time zone
tabela_analitica_vendas,data_envio_transportadora,timestamp without time zone
tabela_analitica_vendas,data_entrega_cliente,timestamp without time zone
tabela_analitica_vendas,prazo_estimado_entrega,timestamp without time zone
tabela_analitica_vendas,dias_entrega_real,integer
tabela_analitica_vendas,dias_atraso,integer
tabela_analitica_vendas,total_itens_comprados,bigint
tabela_analitica_vendas,faturamento_produtos,double precision
tabela_analitica_vendas,custo_frete,double precision
tabela_analitica_vendas,valor_total_pedido_calculado,double precision
tabela_analitica_vendas,valor_efetivamente_pago,double precision
tabela_analitica_vendas,formas_pagamento,text
tabela_analitica_vendas,numero_max_parcelas,bigint
