table_name,column_name,data_type
order_customers,customer_unique_id,character varying
order_customers,customer_zip_code_prefix,character varying
order_customers,customer_city,text
order_customers,customer_state,character varying
order_customers,customer_id,character varying
order_items,order_item_id,bigint
order_items,price,double precision
order_items,shipping_limit_date,timestamp without time zone
order_items,freight_value,double precision
order_items,order_id,text
order_items,product_id,text
order_items,seller_id,text
order_payments_silver_tratada,payment_installments,bigint
order_payments_silver_tratada,payment_sequential,bigint
order_payments_silver_tratada,payment_type,text
order_payments_silver_tratada,order_id,text
order_payments_silver_tratada,payment_value,double precision
order_reviews,created_at,timestamp without time zone
order_reviews,review_score,smallint
order_reviews,review_answer_timestamp,timestamp without time zone
order_reviews,review_creation_date,timestamp without time zone
order_reviews,review_comment_message,text
order_reviews,review_comment_title,text
order_reviews,order_id,text
order_reviews,review_id,text
order_reviews,updated_at,timestamp without time zone
orders_dataset_silver,data_aprovacao_pagamento,timestamp without time zone
orders_dataset_silver,customer_id,text
orders_dataset_silver,order_id,text
orders_dataset_silver,status_pedido,text
orders_dataset_silver,data_compra,timestamp without time zone
orders_dataset_silver,prazo_estimado_entrega,timestamp without time zone
orders_dataset_silver,data_entrega_cliente,timestamp without time zone
orders_dataset_silver,data_envio_transportadora,timestamp without time zone
products_silver_tratada,product_height_cm,bigint
products_silver_tratada,product_id,text
products_silver_tratada,product_category_name,text
products_silver_tratada,product_name_length,bigint
products_silver_tratada,product_description_length,bigint
products_silver_tratada,product_weight_g,bigint
products_silver_tratada,product_length_cm,bigint
products_silver_tratada,product_width_cm,bigint
tabela_analitica_vendas,valor_total_pedido_calculado,double precision
tabela_analitica_vendas,custo_frete,double precision
tabela_analitica_vendas,faturamento_produtos,double precision
tabela_analitica_vendas,total_itens_comprados,bigint
tabela_analitica_vendas,dias_atraso,integer
tabela_analitica_vendas,dias_entrega_real,integer
tabela_analitica_vendas,data_entrega_cliente,timestamp without time zone
tabela_analitica_vendas,data_envio_transportadora,timestamp without time zone
tabela_analitica_vendas,data_aprovacao_pagamento,timestamp without time zone
tabela_analitica_vendas,data_compra,timestamp without time zone
tabela_analitica_vendas,uf_cliente,character varying
tabela_analitica_vendas,cidade_cliente,text
tabela_analitica_vendas,status_pedido,text
tabela_analitica_vendas,prazo_estimado_entrega,timestamp without time zone
tabela_analitica_vendas,formas_pagamento,text
tabela_analitica_vendas,id_pedido,text
tabela_analitica_vendas,id_cliente_pedido,text
tabela_analitica_vendas,id_unico_cliente,character varying
tabela_analitica_vendas,numero_max_parcelas,bigint
tabela_analitica_vendas,valor_efetivamente_pago,double precision
v_outliers_order_items,order_id,text
v_outliers_order_items,order_item_id,bigint
v_outliers_order_items,shipping_limit_date,timestamp without time zone
v_outliers_order_items,price,double precision
v_outliers_order_items,freight_value,double precision
v_outliers_order_items,teto_preco,double precision
v_outliers_order_items,teto_frete,double precision
v_outliers_order_items,product_id,text
v_outliers_order_items,seller_id,text
v_outliers_order_items,motivo_outlier,text
view_horarios_consumo,quantidade_pedidos,bigint
view_horarios_consumo,estado_cliente,character varying
view_horarios_consumo,hora_do_dia,numeric
view_impacto_atraso_cancelamento,status_pedido,text
view_impacto_atraso_cancelamento,total_pedidos,bigint
view_impacto_atraso_cancelamento,situacao_logistica,text
view_recencia_cliente,id_unico_cliente,character varying
view_recencia_cliente,data_ultima_compra,timestamp without time zone
view_recencia_cliente,dias_de_recencia,integer
view_sazonalidade_vendas,total_pedidos,bigint
view_sazonalidade_vendas,ano_mes,text
view_sazonalidade_vendas,faturamento_estimado,double precision
vw_clientes_recorrentes,customer_unique_id,character varying
vw_clientes_recorrentes,classificacao,text
vw_clientes_recorrentes,ticket_medio,numeric
vw_clientes_recorrentes,gasto_total,numeric
vw_clientes_recorrentes,customer_city,text
vw_clientes_recorrentes,total_pedidos,bigint
vw_clientes_recorrentes,customer_state,character varying
vw_clientes_recorrentes,dias_como_cliente,integer
vw_clientes_recorrentes,ultima_compra,date
vw_clientes_recorrentes,primeira_compra,date
vw_concentracao_receita_clientes,percentual_receita,numeric
vw_concentracao_receita_clientes,grupo,text
vw_distribuicao_itens_pedido,quantidade_itens,bigint
vw_distribuicao_itens_pedido,quantidade_pedidos,bigint
vw_distribuicao_itens_pedido,percentual,numeric
vw_multiplos_itens_pedido,menor_carrinho,bigint
